date,year,month,line_name,former_name,line_id,avg_daily_boardings,avg_daily_boardings_sat,avg_daily_boardings_sun,is_treatment,period
2009-01-01,2009,1,A Line,Blue Line,a_line,74803.0,54625.0,52625.0,False,pre
2009-01-01,2009,1,B Line,Red Line,red,140943.0,87840.0,80206.0,False,pre
2009-01-01,2009,1,C Line,Green Line,green,35641.0,20736.0,17162.0,False,pre
2009-01-01,2009,1,E Line,Expo Line,expo,22543.0,15569.0,12661.0,False,pre
2009-02-01,2009,2,A Line,Blue Line,a_line,74271.0,55165.0,52897.0,False,pre
2009-02-01,2009,2,B Line,Red Line,red,141815.0,90746.0,75754.0,False,pre
2009-02-01,2009,2,C Line,Green Line,green,34766.0,21328.0,17002.0,False,pre
2009-02-01,2009,2,E Line,Expo Line,expo,22271.0,14064.0,11113.0,False,pre
2009-03-01,2009,3,A Line,Blue Line,a_line,79412.0,60438.0,55933.0,False,pre
2009-03-01,2009,3,B Line,Red Line,red,150511.0,97268.0,80497.0,False,pre
2009-03-01,2009,3,C Line,Green Line,green,39322.0,21121.0,17455.0,False,pre
2009-03-01,2009,3,E Line,Expo Line,expo,24293.0,15015.0,12374.0,False,pre
2009-04-01,2009,4,A Line,Blue Line,a_line,80520.0,64486.0,59387.0,False,pre
2009-04-01,2009,4,B Line,Red Line,red,151152.0,96636.0,89735.0,False,pre
2009-04-01,2009,4,C Line,Green Line,green,37346.0,23532.0,18001.0,False,pre
2009-04-01,2009,4,E Line,Expo Line,expo,24060.0,16527.0,12984.0,False,pre
2009-05-01,2009,5,A Line,Blue Line,a_line,80175.0,60359.0,55693.0,False,pre
2009-05-01,2009,5,B Line,Red Line,red,154355.0,98288.0,84580.0,False,pre
2009-05-01,2009,5,C Line,Green Line,green,38301.0,21910.0,18318.0,False,pre
2009-05-01,2009,5,E Line,Expo Line,expo,24550.0,15696.0,13744.0,False,pre
2009-06-01,2009,6,A Line,Blue Line,a_line,81806.0,57280.0,50819.0,False,pre
2009-06-01,2009,6,B Line,Red Line,red,156562.0,95809.0,75294.0,False,pre
2009-06-01,2009,6,C Line,Green Line,green,41126.0,22140.0,18158.0,False,pre
2009-06-01,2009,6,E Line,Expo Line,expo,24219.0,14281.0,11408.0,False,pre
2009-07-01,2009,7,A Line,Blue Line,a_line,82234.0,58606.0,55083.0,False,pre
2009-07-01,2009,7,B Line,Red Line,red,162720.0,99928.0,81324.0,False,pre
2009-07-01,2009,7,C Line,Green Line,green,39970.0,22449.0,18394.0,False,pre
2009-07-01,2009,7,E Line,Expo Line,expo,21065.0,10896.0,8622.0,False,pre
2009-08-01,2009,8,A Line,Blue Line,a_line,79230.0,59411.0,54423.0,False,pre
2009-08-01,2009,8,B Line,Red Line,red,158305.0,98210.0,81679.0,False,pre
2009-08-01,2009,8,C Line,Green Line,green,39434.0,21264.0,17931.0,False,pre
2009-08-01,2009,8,E Line,Expo Line,expo,24175.0,15701.0,11673.0,False,pre
2009-09-01,2009,9,A Line,Blue Line,a_line,78955.0,58162.0,48118.0,False,pre
2009-09-01,2009,9,B Line,Red Line,red,149597.0,94370.0,77647.0,False,pre
2009-09-01,2009,9,C Line,Green Line,green,38619.0,22299.0,17531.0,False,pre
2009-09-01,2009,9,E Line,Expo Line,expo,22476.0,16130.0,10740.0,False,pre
2009-10-01,2009,10,A Line,Blue Line,a_line,74311.0,56648.0,49766.0,False,pre
2009-10-01,2009,10,B Line,Red Line,red,141302.0,98380.0,78589.0,False,pre
2009-10-01,2009,10,C Line,Green Line,green,36453.0,20467.0,17274.0,False,pre
2009-10-01,2009,10,E Line,Expo Line,expo,21322.0,14083.0,12226.0,False,pre
2009-11-01,2009,11,A Line,Blue Line,a_line,73048.0,48879.0,44068.0,False,pre
2009-11-01,2009,11,B Line,Red Line,red,139140.0,88415.0,73514.0,False,pre
2009-11-01,2009,11,C Line,Green Line,green,36238.0,19226.0,15764.0,False,pre
2009-11-01,2009,11,E Line,Expo Line,expo,28478.0,13155.0,10507.0,False,pre
2009-12-01,2009,12,A Line,Blue Line,a_line,70765.0,47735.0,42295.0,False,pre
2009-12-01,2009,12,B Line,Red Line,red,137296.0,80492.0,69525.0,False,pre
2009-12-01,2009,12,C Line,Green Line,green,34276.0,17456.0,15042.0,False,pre
2009-12-01,2009,12,E Line,Expo Line,expo,28621.0,19330.0,20345.0,False,pre
2010-01-01,2010,1,A Line,Blue Line,a_line,70583.0,54873.0,45957.0,False,pre
2010-01-01,2010,1,B Line,Red Line,red,139409.0,94338.0,76769.0,False,pre
2010-01-01,2010,1,C Line,Green Line,green,35536.0,20636.0,17893.0,False,pre
2010-01-01,2010,1,E Line,Expo Line,expo,28227.0,22974.0,22668.0,False,pre
2010-02-01,2010,2,A Line,Blue Line,a_line,77788.0,52018.0,49006.0,False,pre
2010-02-01,2010,2,B Line,Red Line,red,147482.0,93576.0,82719.0,False,pre
2010-02-01,2010,2,C Line,Green Line,green,37456.0,19258.0,18235.0,False,pre
2010-02-01,2010,2,E Line,Expo Line,expo,30512.0,21359.0,20735.0,False,pre
2010-03-01,2010,3,A Line,Blue Line,a_line,77806.0,52018.0,49006.0,False,pre
2010-03-01,2010,3,B Line,Red Line,red,155463.0,102709.0,81961.0,False,pre
2010-03-01,2010,3,C Line,Green Line,green,39645.0,20833.0,18676.0,False,pre
2010-03-01,2010,3,E Line,Expo Line,expo,31544.0,21583.0,20447.0,False,pre
2010-04-01,2010,4,A Line,Blue Line,a_line,77966.0,52018.0,49006.0,False,pre
2010-04-01,2010,4,B Line,Red Line,red,152507.0,104869.0,82792.0,False,pre
2010-04-01,2010,4,C Line,Green Line,green,38985.0,21823.0,18036.0,False,pre
2010-04-01,2010,4,E Line,Expo Line,expo,32315.0,25453.0,19844.0,False,pre
2010-05-01,2010,5,A Line,Blue Line,a_line,76368.0,52018.0,49006.0,False,pre
2010-05-01,2010,5,B Line,Red Line,red,151523.0,106713.0,77701.0,False,pre
2010-05-01,2010,5,C Line,Green Line,green,40344.0,22530.0,17851.0,False,pre
2010-05-01,2010,5,E Line,Expo Line,expo,32434.0,27516.0,19545.0,False,pre
2010-06-01,2010,6,A Line,Blue Line,a_line,82840.0,52018.0,49006.0,False,pre
2010-06-01,2010,6,B Line,Red Line,red,162648.0,101950.0,82892.0,False,pre
2010-06-01,2010,6,C Line,Green Line,green,43904.0,21071.0,18432.0,False,pre
2010-06-01,2010,6,E Line,Expo Line,expo,37270.0,22933.0,19661.0,False,pre
2010-07-01,2010,7,A Line,Blue Line,a_line,77545.0,54280.0,48850.0,False,pre
2010-07-01,2010,7,B Line,Red Line,red,154450.0,100390.0,80310.0,False,pre
2010-07-01,2010,7,C Line,Green Line,green,39900.0,21545.0,18350.0,False,pre
2010-07-01,2010,7,E Line,Expo Line,expo,34285.0,25371.0,22970.0,False,pre
