Year,Month,Line Name,Former Name,Line Category,Avg. Daily Boardings (Weekday),Avg. Daily Boardings (Saturday),Avg. Daily Boardings (Sunday),line_name
2009,1,A Line,Blue Line,Train,74803.0,54625.0,52625.0,801
2009,2,A Line,Blue Line,Train,74271.0,55165.0,52897.0,801
2009,3,A Line,Blue Line,Train,79412.0,60438.0,55933.0,801
2009,4,A Line,Blue Line,Train,80520.0,64486.0,59387.0,801
2009,5,A Line,Blue Line,Train,80175.0,60359.0,55693.0,801
2009,6,A Line,Blue Line,Train,81806.0,57280.0,50819.0,801
2009,7,A Line,Blue Line,Train,82234.0,58606.0,55083.0,801
2009,8,A Line,Blue Line,Train,79230.0,59411.0,54423.0,801
2009,9,A Line,Blue Line,Train,78955.0,58162.0,48118.0,801
2009,10,A Line,Blue Line,Train,74311.0,56648.0,49766.0,801
2009,11,A Line,Blue Line,Train,73048.0,48879.0,44068.0,801
2009,12,A Line,Blue Line,Train,70765.0,47735.0,42295.0,801
2010,1,A Line,Blue Line,Train,70583.0,54873.0,45957.0,801
2010,2,A Line,Blue Line,Train,77788.0,52018.0,49006.0,801
2010,3,A Line,Blue Line,Train,77806.0,52018.0,49006.0,801
2010,4,A Line,Blue Line,Train,77966.0,52018.0,49006.0,801
2010,5,A Line,Blue Line,Train,76368.0,52018.0,49006.0,801
2010,6,A Line,Blue Line,Train,82840.0,52018.0,49006.0,801
2010,7,A Line,Blue Line,Train,77545.0,54280.0,48850.0,801
2010,8,A Line,Blue Line,Train,81126.0,52018.0,49006.0,801
2010,9,A Line,Blue Line,Train,82542.0,52018.0,49006.0,801
2010,10,A Line,Blue Line,Train,77528.0,49469.0,43710.0,801
2010,11,A Line,Blue Line,Train,74832.0,47148.0,41133.0,801
2010,12,A Line,Blue Line,Train,71038.0,45028.0,35995.0,801
2011,1,A Line,Blue Line,Train,79709.0,49464.0,40998.0,801
2011,2,A Line,Blue Line,Train,80988.0,49378.0,44790.0,801
2011,3,A Line,Blue Line,Train,77805.0,55221.0,39584.0,801
2011,4,A Line,Blue Line,Train,82086.0,57946.0,49657.0,801
2011,5,A Line,Blue Line,Train,80223.0,51553.0,45678.0,801
2011,6,A Line,Blue Line,Train,84159.0,53922.0,47027.0,801
2011,7,A Line,Blue Line,Train,90109.0,60213.0,54155.0,801
2011,8,A Line,Blue Line,Train,82189.0,57645.0,47924.0,801
2011,9,A Line,Blue Line,Train,83385.0,58990.0,48791.0,801
2011,10,A Line,Blue Line,Train,77738.0,56637.0,45345.0,801
2011,11,A Line,Blue Line,Train,75250.0,56212.0,38171.0,801
2011,12,A Line,Blue Line,Train,73825.0,53007.0,42566.0,801
2012,1,A Line,Blue Line,Train,78515.0,58344.0,50849.0,801
2012,2,A Line,Blue Line,Train,83397.0,63495.0,51091.0,801
2012,3,A Line,Blue Line,Train,84952.0,61087.0,46081.0,801
2012,4,A Line,Blue Line,Train,84459.0,67856.0,54822.0,801
2012,5,A Line,Blue Line,Train,83396.0,66547.0,52157.0,801
2012,6,A Line,Blue Line,Train,89523.0,59718.0,47599.0,801
2012,7,A Line,Blue Line,Train,89155.0,61350.0,53559.0,801
2012,8,A Line,Blue Line,Train,92006.0,65686.0,54087.0,801
2012,9,A Line,Blue Line,Train,92120.0,66900.0,59554.0,801
2012,10,A Line,Blue Line,Train,92953.0,63619.0,62213.0,801
2012,11,A Line,Blue Line,Train,93201.0,67960.0,60585.0,801
2012,12,A Line,Blue Line,Train,91709.0,62780.0,59391.0,801
2013,1,A Line,Blue Line,Train,88846.0,55857.0,55515.0,801
2013,2,A Line,Blue Line,Train,88023.0,52314.0,54588.0,801
2013,3,A Line,Blue Line,Train,87421.0,55681.0,50937.0,801
2013,4,A Line,Blue Line,Train,87392.0,59762.0,49063.0,801
2013,5,A Line,Blue Line,Train,86310.0,59395.0,48436.0,801
2013,6,A Line,Blue Line,Train,86485.0,61314.0,48396.0,801
2013,7,A Line,Blue Line,Train,87597.0,61244.0,48641.0,801
2013,8,A Line,Blue Line,Train,87723.0,60840.0,48487.0,801
2013,9,A Line,Blue Line,Train,88619.0,61379.0,47866.0,801
2013,10,A Line,Blue Line,Train,88095.0,60339.0,46897.0,801
2013,11,A Line,Blue Line,Train,87242.0,59967.0,45786.0,801
2013,12,A Line,Blue Line,Train,84771.0,58544.0,44469.0,801
2014,1,A Line,Blue Line,Train,82383.0,55785.0,44016.0,801
2014,2,A Line,Blue Line,Train,82320.0,56582.0,43940.0,801
2014,3,A Line,Blue Line,Train,83862.0,54795.0,44374.0,801
2014,4,A Line,Blue Line,Train,85283.0,54927.0,44636.0,801
2014,5,A Line,Blue Line,Train,86065.0,56081.0,44917.0,801
2014,6,A Line,Blue Line,Train,87206.0,56113.0,45075.0,801
2014,7,A Line,Blue Line,Train,87516.0,56016.0,47945.0,801
2014,8,A Line,Blue Line,Train,87155.0,56386.0,47855.0,801
2014,9,A Line,Blue Line,Train,86204.0,57467.0,47431.0,801
2014,10,A Line,Blue Line,Train,85129.0,57399.0,47236.0,801
2014,11,A Line,Blue Line,Train,84838.0,56850.0,46950.0,801
2014,12,A Line,Blue Line,Train,82365.0,56963.0,47052.0,801
2015,1,A Line,Blue Line,Train,80777.0,58787.0,43009.0,801
2015,2,A Line,Blue Line,Train,80105.0,58548.0,44690.0,801
2015,3,A Line,Blue Line,Train,79668.0,56334.0,44901.0,801
2015,4,A Line,Blue Line,Train,79034.0,48680.0,40016.0,801
2015,5,A Line,Blue Line,Train,77286.0,46725.0,39822.0,801
2015,6,A Line,Blue Line,Train,78532.0,40919.0,34576.0,801
2015,7,A Line,Blue Line,Train,77414.0,41860.0,42080.0,801
2015,8,A Line,Blue Line,Train,76241.0,49358.0,43935.0,801
2015,9,A Line,Blue Line,Train,73880.0,52216.0,38241.0,801
2015,10,A Line,Blue Line,Train,72561.0,51104.0,38877.0,801
2015,11,A Line,Blue Line,Train,74207.0,44491.0,32588.0,801
2015,12,A Line,Blue Line,Train,72790.0,37743.0,27988.0,801
2016,1,A Line,Blue Line,Train,72879.0,52414.0,43665.0,801
2016,2,A Line,Blue Line,Train,74202.0,49272.0,44009.0,801
2016,3,A Line,Blue Line,Train,76003.0,48418.0,41034.0,801
2016,4,A Line,Blue Line,Train,77357.0,48566.0,40860.0,801
2016,5,A Line,Blue Line,Train,81389.0,58724.0,46988.0,801
2016,6,A Line,Blue Line,Train,83426.0,52095.0,40167.0,801
2016,7,A Line,Blue Line,Train,83612.0,50005.0,39273.0,801
2016,8,A Line,Blue Line,Train,81909.0,46306.0,35558.0,801
2016,9,A Line,Blue Line,Train,80516.0,47318.0,36995.0,801
2016,10,A Line,Blue Line,Train,78693.0,46010.0,37029.0,801
2016,11,A Line,Blue Line,Train,77996.0,44490.0,36471.0,801
2016,12,A Line,Blue Line,Train,76751.0,43670.0,35659.0,801
2017,1,A Line,Blue Line,Train,77430.0,43221.0,35742.0,801
2017,2,A Line,Blue Line,Train,74596.0,42866.0,33742.0,801
2017,3,A Line,Blue Line,Train,72822.0,42796.0,34671.0,801
2017,4,A Line,Blue Line,Train,69332.0,40510.0,35047.0,801
2017,5,A Line,Blue Line,Train,67670.0,40991.0,33879.0,801
2017,6,A Line,Blue Line,Train,68689.0,41995.0,33569.0,801
2017,7,A Line,Blue Line,Train,69000.0,41172.0,33239.0,801
2017,8,A Line,Blue Line,Train,72202.0,38514.0,34486.0,801
2017,9,A Line,Blue Line,Train,73016.0,38803.0,32070.0,801
2017,10,A Line,Blue Line,Train,73250.0,37759.0,32076.0,801
2017,11,A Line,Blue Line,Train,73949.0,36107.0,32519.0,801
2017,12,A Line,Blue Line,Train,73930.0,36285.0,31980.0,801
2018,1,A Line,Blue Line,Train,72920.0,33280.0,31196.0,801
2018,2,A Line,Blue Line,Train,69668.0,32694.0,29137.0,801
2018,3,A Line,Blue Line,Train,67572.0,30833.0,27873.0,801
2018,7,A Line,Blue Line,Train,62085.0,32128.0,27633.0,801
2018,8,A Line,Blue Line,Train,61965.0,32276.0,29195.0,801
2018,9,A Line,Blue Line,Train,62324.0,32224.0,29187.0,801
2018,10,A Line,Blue Line,Train,63008.0,30579.0,30314.0,801
2018,11,A Line,Blue Line,Train,63463.0,31963.0,30432.0,801
2018,12,A Line,Blue Line,Train,62458.0,32774.0,29419.0,801
2019,1,A Line,Blue Line,Train,61623.0,31994.0,29416.0,801
2019,2,A Line,Blue Line,Train,29774.0,20451.0,16318.0,801
2019,3,A Line,Blue Line,Train,30599.0,21283.0,18457.0,801
2019,4,A Line,Blue Line,Train,30092.0,21042.0,17347.0,801
2019,5,A Line,Blue Line,Train,29560.0,20272.0,17101.0,801
2019,6,A Line,Blue Line,Train,10950.0,8824.0,7889.0,801
2019,7,A Line,Blue Line,Train,11474.0,9492.0,8326.0,801
2019,8,A Line,Blue Line,Train,11938.0,9283.0,8384.0,801
2019,9,A Line,Blue Line,Train,12528.0,9563.0,7608.0,801
2019,10,A Line,Blue Line,Train,12322.0,8633.0,7344.0,801
2019,11,A Line,Blue Line,Train,44578.0,32434.0,24287.0,801
2019,12,A Line,Blue Line,Train,45467.0,30404.0,24585.0,801
2020,1,A Line,Blue Line,Train,50456.0,38169.0,26996.0,801
2020,2,A Line,Blue Line,Train,52957.0,35489.0,28804.0,801
2020,3,A Line,Blue Line,Train,34721.0,20202.0,19976.0,801
2020,4,A Line,Blue Line,Train,17826.0,13536.0,10955.0,801
2020,5,A Line,Blue Line,Train,20003.0,14976.0,11988.0,801
2020,6,A Line,Blue Line,Train,22086.0,17812.0,14246.0,801
2020,7,A Line,Blue Line,Train,22854.0,17525.0,17026.0,801
2020,8,A Line,Blue Line,Train,22741.0,17799.0,14646.0,801
2020,9,A Line,Blue Line,Train,24239.0,18464.0,16046.0,801
2020,10,A Line,Blue Line,Train,24909.0,19142.0,15925.0,801
2020,11,A Line,Blue Line,Train,24368.0,17397.0,15074.0,801
2020,12,A Line,Blue Line,Train,22411.0,16969.0,14207.0,801
2021,1,A Line,Blue Line,Train,22330.0,15907.0,14004.0,801
2021,2,A Line,Blue Line,Train,23527.0,18552.0,16102.0,801
2021,3,A Line,Blue Line,Train,24143.0,19940.0,14885.0,801
2021,4,A Line,Blue Line,Train,26652.0,20931.0,17036.0,801
2021,5,A Line,Blue Line,Train,26194.0,20796.0,17059.0,801
2021,6,A Line,Blue Line,Train,27349.0,22340.0,18381.0,801
2021,7,A Line,Blue Line,Train,28923.0,20895.0,18187.0,801
2021,8,A Line,Blue Line,Train,29298.0,19405.0,16653.0,801
2021,9,A Line,Blue Line,Train,30758.0,21158.0,18133.0,801
2021,10,A Line,Blue Line,Train,30842.0,20231.0,17567.0,801
2021,11,A Line,Blue Line,Train,31909.0,21979.0,18655.0,801
